,Locality,Buy Rate per Sqft,1 BHK,2 BHK,3 BHK
241,Vasai East,"Rs. 4,888 - 5,355/sq. ft.","Rs. 6,545 - 7,012","Rs. 10,200 - 10,880",-
242,Vasai West,"Rs. 5,652 - 6,588/sq. ft.","Rs. 7,194 - 8,543","Rs. 10,838 - 13,728","Rs. 10,208 - 16,334"
243,Vasant Nagari,"Rs. 4,760 - 5,440/sq. ft.",-,-,-
244,Vijay Park,"Rs. 8,415 - 8,925/sq. ft.","Rs. 9,724 - 11,934",-,-
245,Vinay Nagar,"Rs. 7,480 - 8,288/sq. ft.","Rs. 11,144 - 13,082","Rs. 16,031 - 19,516",-
246,Virar,"Rs. 4,335 - 4,930/sq. ft.","Rs. 5,105 - 6,033","Rs. 6,672 - 7,340","Rs. 7,459 - 9,116"
247,Virar East,"Rs. 3,655 - 4,462/sq. ft.","Rs. 3,816 - 4,961",-,-
248,Virar West,"Rs. 4,378 - 4,972/sq. ft.","Rs. 5,105 - 6,033","Rs. 6,672 - 7,340","Rs. 7,459 - 9,116"
249,Virat Nagar,"Rs. 5,058 - 5,865/sq. ft.",-,-,-
250,Y K Nagar,"Rs. 5,015 - 5,482/sq. ft.","Rs. 6,188 - 7,140","Rs. 7,863 - 9,293",-
251,4 Bunglows,"Rs. 21,548 - 25,628/sq. ft.","Rs. 27,582 - 32,258","Rs. 49,300 - 56,100",-
252,Aarey Milk Colony,"Rs. 7,182 - 8,118/sq. ft.","Rs. 16,034 - 18,261","Rs. 19,671 - 24,419","Rs. 24,868 - 29,012"
253,Ajit Nagar,-,"Rs. 22,984 - 27,846","Rs. 29,580 - 38,824",-
254,Akurli Nagar,"Rs. 18,232 - 18,658/sq. ft.",-,"Rs. 32,487 - 35,819",-
255,Alika Nagar,"Rs. 14,408 - 15,980/sq. ft.","Rs. 13,940 - 15,300","Rs. 26,982 - 29,594","Rs. 29,631 - 31,748"
256,Amboli,"Rs. 16,872 - 20,358/sq. ft.","Rs. 21,420 - 25,245","Rs. 38,378 - 46,053","Rs. 53,137 - 60,068"
257,Andheri (East),"Rs. 15,385 - 18,232/sq. ft.","Rs. 24,310 - 28,050","Rs. 36,914 - 42,412","Rs. 51,245 - 58,718"
